Year,Type,Country,Activity,Sex,Age,Fatal,Species,Age_missing
2023,Unprovoked,USA,standing,F,24.0,0,unknown,1
2023,Unprovoked,USA,swimming,M,49.0,0,unknown,0
2023,Unprovoked,USA,swimming,M,47.0,0,unknown,0
2023,Unprovoked,USA,surfing,M,15.0,0,unknown,0
2023,Unprovoked,USA,swimming,F,15.0,0,tiger,0
2023,Unprovoked,USA,swimming,F,24.0,0,unknown,1
2023,Unprovoked,USA,fishing,M,24.0,0,unknown,1
2023,Unprovoked,USA,Other,M,24.0,0,tiger,1
2023,Unprovoked,EGYPT,swimming,M,24.0,1,tiger,0
2023,Unprovoked,OTHER,surfing,F,25.0,0,grey reef,0
2023,Unprovoked,NEW CALEDONIA,spearfishing,M,42.0,1,unknown,0
2023,Unprovoked,OTHER,snorkeling,F,22.0,0,caribbean reef,0
2023,Unknown,BAHAMAS,Other,M,18.0,1,unknown,0
2023,Provoked,USA,Other,F,26.0,0,other,0
2023,Unprovoked,USA,surfing,F,15.0,0,unknown,0
2023,Provoked,USA,fishing,M,35.0,0,unknown,0
2023,Unprovoked,USA,spearfishing,M,20.0,0,unknown,0
2023,Unprovoked,USA,swimming,F,24.0,0,unknown,0
2023,Unprovoked,AUSTRALIA,surfing,M,46.0,1,great white,0
2023,Unprovoked,USA,Other,F,13.0,0,bull,0
2023,Provoked,USA,fishing,M,24.0,0,tiger,1
2023,Provoked,OTHER,spearfishing,M,24.0,1,bull,1
2023,Unprovoked,USA,spearfishing,M,22.0,0,unknown,0
2023,Unprovoked,SOUTH AFRICA,surfing,M,24.0,0,unknown,1
2023,Unprovoked,SOUTH AFRICA,Other,M,39.0,0,unknown,0
2023,Unprovoked,AUSTRALIA,swimming,M,24.0,0,unknown,1
2023,Unprovoked,AUSTRALIA,snorkeling,M,11.0,0,unknown,0
2023,Unprovoked,USA,spearfishing,M,24.0,0,bull,1
2023,Unprovoked,AUSTRALIA,surfing,M,30.0,0,bronze whaler,0
2023,Unprovoked,USA,surfing,F,24.0,0,unknown,1
2023,Watercraft,USA,fishing,M,24.0,0,unknown,1
2023,Unprovoked,USA,surfing,M,58.0,0,tiger,0
2023,Unprovoked,USA,surfing,M,67.0,0,unknown,0
2023,Provoked,OTHER,fishing,M,17.0,0,unknown,0
2023,Unprovoked,AUSTRALIA,wading,M,24.0,0,unknown,1
2023,Unprovoked,USA,swimming,M,60.0,0,blacktip reef,0
2023,Unknown,MEXICO,swimming,M,10.0,0,unknown,0
2023,Unprovoked,AUSTRALIA,Other,F,24.0,0,unknown,1
2023,Unprovoked,BRAZIL,swimming,F,15.0,0,unknown,0
2023,Unprovoked,BRAZIL,swimming,M,14.0,0,unknown,0
2023,Unprovoked,BRAZIL,surfing,M,32.0,0,unknown,0
2023,Unprovoked,NEW CALEDONIA,swimming,M,59.0,1,bull,0
2023,Unprovoked,USA,surfing,M,60.0,0,unknown,0
2023,Unknown,FIJI,spearfishing,M,41.0,0,unknown,0
2023,Unprovoked,AUSTRALIA,swimming,F,16.0,1,bull,0
2023,Unprovoked,AUSTRALIA,fishing,M,8.0,0,unknown,0
2023,Unprovoked,NEW CALEDONIA,swimming,M,49.0,0,bull,0
2023,Unprovoked,USA,swimming,M,34.0,0,unknown,0
2023,Unprovoked,MEXICO,Other,M,53.0,1,unknown,0
2023,Provoked,USA,spearfishing,M,30.0,0,mako,0
2023,Provoked,OTHER,Other,F,30.0,0,nurse,0
2022,Provoked,SOUTH AFRICA,Other,M,26.0,0,blacktip,0
2022,Unprovoked,USA,swimming,M,68.0,0,tiger,0
2022,Unprovoked,AUSTRALIA,swimming,M,15.0,0,unknown,0
2022,Unprovoked,USA,diving,M,43.0,0,unknown,0
2022,Unprovoked,USA,snorkeling,F,60.0,1,tiger,0
2022,Unprovoked,USA,surfing,M,24.0,0,blacktip,1
2022,Unprovoked,USA,swimming,F,10.0,0,unknown,0
2022,Unprovoked,USA,swimming,F,50.0,0,great white,0
2022,Provoked,USA,fishing,M,29.0,0,unknown,0
2022,Unprovoked,USA,surfing,M,24.0,0,unknown,1
2022,Sea disaster,USA,fishing,M,40.0,0,unknown,0
